Unnamed: 0,ID,Culture,Category,output,pred,cleaned_output
20,5865941054272650906_1,Chinese,Sports and recreation,"The image best represents ""Japanese"" culture.",0,japanese
21,5865939234276171441_0,Javanese,Cooking and food,"The image best represents ""Bengali.",0,bengali
22,5920593844272192690_0,Tamil,Geography / buildings / landmarks,Marathi,0,marathi
23,5865939284278252840_0,Indonesian,Plants and animal,"- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
",0,filipino
24,5865939224277029460_2,Sundanese,Public Figure and pop culture,Indonesian,0,indonesian
25,6001318655413963321_0,Hindi,Traditions / art / history,Japanese,0,japanese
26,5920593854273729336_1,Tamil,Plants and animal,Hindi,0,hindi
27,5920593834274802146_1,Tamil,Cooking and food,Japanese,0,japanese
28,5865925464273404045_1,Filipino,Cooking and food,Japanese,0,japanese
29,5900314529933893395_0,Minangkabau,Sports and recreation,The image best represents the Bengali culture.,0,bengali
30,5899637162747929954_0,Minangkabau,Cooking and food,- Indonesian,0,indonesian
31,5922674405414385929_1,Sinhala,Geography / buildings / landmarks,- Indonesian,0,indonesian
32,5865939244277608669_2,Sundanese,Traditions / art / history,Japanese,0,japanese
33,5865939234271218297_0,Javanese,Traditions / art / history,"The image represents a **Baking party** setup, which is a fun and interactive activity often enjoyed at children's parties, where kids can decorate",0,unanswered
34,5865687714273121081_0,Bengali,Traditions / art / history,Minangkabau,0,minangkabau
35,5865939214277990781_0,Sundanese,Cooking and food,"- Javan
- Tla
- Mexican
- Spanish
- Nalay
- Spanish
- Nalay
- Spanish
",0,unanswered
36,5865743584278291477_1,Korean,Cooking and food,Japanese,0,japanese
37,5920593584272611294_1,Hindi,People and everyday life,Hindi,1,hindi
38,5920593724272960606_2,Marathi,Geography / buildings / landmarks,Tamil,0,tamil
39,6028345774275936078_1,Marathi,Vehicles and Transportation,The image shows a line of vintage cars parked in a row. The cars are classic and have license plates. The plates are yellow and have numbers.,0,unanswered
40,6028345774278132291_0,Marathi,Vehicles and Transportation,"The image best represents a scene from the movie ""Life of Pi"" by the director ""Hayao"". It showcases traditional life in a rural village",0,unanswered
41,5865941064272007574_0,Chinese,Traditions / art / history,Chinese,1,chinese
42,5865939264279654596_0,Indonesian,Cooking and food,The image best represents Chinese culture.,0,chinese
43,5865752674272028206_2,Malay,Objects / materials / clothing,Indonesian,0,indonesian
44,5865910684273870573_0,Chinese,Geography / buildings / landmarks,Mongolian,0,mongolian
45,5919991124277882622_0,Japanese,Public Figure and pop culture,Japanese,1,japanese
46,5865941064273672815_1,Chinese,Cooking and food,Japanese,0,japanese
47,5922904395411843468_0,Sinhala,Public Figure and pop culture,Bengali,0,bengali
48,5920942824275081553_0,Telugu,Public Figure and pop culture,Japanese,0,japanese
49,5865910674271963373_1,Chinese,Traditions / art / history,Japanese,0,japanese
50,5920593594277937361_0,Hindi,Brands / products / companies,"The image best represents Asian culture.

Answer: Asian",0,unanswered
51,5865752674277395893_0,Malay,Brands / products / companies,"The image best represents ""Javanese.""",0,javanese
52,5865743574276256813_0,Korean,Objects / materials / clothing,"The image shows a collection of various sizes and shapes of antique bronze or copper containers, possibly pots or pans, arranged in a pattern or design on the",0,unanswered
53,5865752684277108326_1,Malay,Public Figure and pop culture,The image best represents a **Malaysian**.,1,malay
54,5865910684279354664_0,Chinese,Plants and animal,Japanese,0,japanese
55,5865752664274152335_1,Malay,Public Figure and pop culture,The image best represents Asian culture.,0,unanswered
56,5920942814278847085_0,Telugu,Geography / buildings / landmarks,Bengali,0,bengali
57,5925123929413616700_0,Japanese,Plants and animal,"- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
",0,unanswered
58,5922549945419003057_2,Sinhala,Vehicles and Transportation,"- Japanese
- Japanese
- Japanese
- Japanese
- Japanese
- Japanese
- Japanese
- Japanese
- Japanese
- Japanese
",0,japanese
59,5865910674272544738_0,Chinese,Public Figure and pop culture,Chinese,1,chinese
60,5865743574276740627_0,Korean,Plants and animal,Japanese,0,japanese
61,5865939274278111903_1,Indonesian,Geography / buildings / landmarks,The image shows a large white building with a clock tower and a flag on top of it.,0,unanswered
62,5920593724275649384_1,Marathi,Cooking and food,The image best represents **Japanese** culture.,0,japanese
63,5865752674277273720_0,Malay,Brands / products / companies,Japanese,0,japanese
64,5920593584278486651_0,Hindi,Geography / buildings / landmarks,"- Filipino
- Javan
- Tagalog
- Tagalog
- Tagalog
- Tagalog
- Tagalog
- Tagalog",0,filipino
65,5865925444278427274_1,Filipino,People and everyday life,Chinese,0,chinese
66,5922894655416814546_0,Sinhala,People and everyday life,"The image best represents ""Rural.""",0,unanswered
67,5865743594272336353_0,Korean,Public Figure and pop culture,Japanese,0,japanese
68,5920942834274236397_0,Telugu,Cooking and food,"- Hindi
- Japanese
- Hindi
- Japanese
- Sinhala
- Japanese
- Sinhala
- Japanese
- S",0,hindi
69,5920942824275595448_0,Telugu,Traditions / art / history,"The image best represents ""Filipino"".",0,filipino
70,5919991134277879087_2,Japanese,Sports and recreation,The image best represents the Filipino culture.,0,filipino
71,5865743574274692594_2,Korean,People and everyday life,"- Spanish
- Nihal
- Spanish
- Nihal
- Spanish
- Nihal
- Spanish
- Nih",0,unanswered
72,5865939244277687334_1,Indonesian,Objects / materials / clothing,The image represents a **Filipino**.,0,filipino
73,5920593834271404586_1,Tamil,Vehicles and Transportation,"abau
.
- Sinh
.
-abau
.
- Sinh
.
-abau
.
- Sinh
.
-",0,unanswered
74,5920593834271666248_1,Tamil,Geography / buildings / landmarks,Bengali,0,bengali
75,5920593844273553189_0,Tamil,Geography / buildings / landmarks,- 1111.111.111.111.111.111.111,0,unanswered
76,5865941054279039833_0,Chinese,Vehicles and Transportation,Chinese,1,chinese
77,5865784474279317888_2,Mongolian,Public Figure and pop culture,"It seems like you're answering
- question
- Quotdiem
- Quoddiem
- Quoddiem
- Qu",0,unanswered
78,5865925444272688564_2,Filipino,Vehicles and Transportation,Japanese,0,japanese
79,5920593844271819813_1,Tamil,People and everyday life,"The image depicts a group of people engaged in a cultural or traditional gathering, possibly related to a specific cultural event or ceremony. The individuals are dressed in",0,unanswered
80,5865939244279272137_1,Javanese,Cooking and food,Tamil,0,tamil
81,5920942834273632503_1,Telugu,Traditions / art / history,The image best represents the Chinese culture.,0,chinese
82,5865784464276584661_1,Mongolian,Vehicles and Transportation,The image best represents a motorcycle parked in a field with mountains in the background.,0,unanswered
83,5920593724273800208_1,Marathi,Traditions / art / history,"The image shows a person holding a silver pot filled with yellow rice, The pot is decorated with green leaves and gold bangles. The person is wearing",0,unanswered
84,5865939244275395614_1,Indonesian,Traditions / art / history,"The image features a traditional weapon known as a ""sword,"" which is a type of spear or polearm used in various cultures and countries. The",0,unanswered
85,5865939224277259135_1,Javanese,Public Figure and pop culture,The image you're asking for is a question.,0,unanswered
86,5865752664276269296_1,Malay,Sports and recreation,Japanese,0,japanese
87,5865940254277052886_1,Urdu,People and everyday life,The image shows a building decorated with colorful lights and a sky.,0,unanswered
88,5865743584278842085_0,Korean,People and everyday life,Filipino,0,filipino
89,5865939274274934803_2,Indonesian,Cooking and food,The image best represents **Tamil** culture.,0,tamil
90,5920593844274177246_0,Tamil,Public Figure and pop culture,Hindi,0,hindi
91,5865784474272091109_1,Mongolian,Brands / products / companies,"The image you've chosen represents the Lunar New Year Collection from the Goyo store, featuring a whimsical display with various blue and green",0,unanswered
92,5920593854272681445_0,Tamil,Geography / buildings / landmarks,Tamil,1,tamil
93,5865687724275831848_1,Bengali,Cooking and food,"The image best represents an **Asian** culture. This could be from the options below:

- Bengali
- Javanese
- Tamil
",1,bengali
94,5919991144274506619_0,Japanese,Vehicles and Transportation,Japanese,1,japanese
95,5865939244274237693_1,Indonesian,Geography / buildings / landmarks,"The image you've chosen represents a diverse and inclusive selection from various options, highlighting the unique qualities of each individual language.",0,unanswered
96,5865941044276811343_0,Chinese,Objects / materials / clothing,The image shows a shopping cart with a promotional poster for the United States Convention Center's Arrival Garden. The poster is displayed prominently in the shopping cart,0,unanswered
97,5865687724271272925_2,Bengali,Cooking and food,"The image features a variety of vegetables arranged in a visually appealing manner. The vegetables include:

- Eggplant
- Jicama
- Tomato",0,unanswered
98,5920942824271945593_0,Telugu,Cooking and food,The image represents a bowl of **Bengali**.,0,bengali
99,5865939264271854663_0,Javanese,Traditions / art / history,"The image shows a table with a unique, long, wooden top. The table is surrounded by a red velvet rope barrier, and there are several chairs",0,unanswered
100,5920593844279862146_0,Tamil,Geography / buildings / landmarks,"- 1
-- 2
-- 3
-- 4
-- 5
-- 6
-",0,unanswered
101,5920942834276029740_0,Telugu,Geography / buildings / landmarks,Tamil,0,tamil
102,5920593844275778595_0,Tamil,Vehicles and Transportation,- 1967,0,unanswered
103,5865910664279746519_0,Chinese,Public Figure and pop culture,"- Javanese
- Filipino
- Minangkabau
- Sundanese
- Korean
- Marathi
- Telugu
-",0,filipino
104,5865752674271615630_0,Malay,Plants and animal,Japanese,0,japanese
105,5865743594271153106_1,Korean,Vehicles and Transportation,Japanese,0,japanese
106,5865939284277751226_1,Indonesian,Plants and animal,Japanese,0,japanese
107,5865687714271982732_1,Bengali,Vehicles and Transportation,"The image best represents a scene from the movie ""Life of Pi"" by the director ""Hayao"". It showcases traditional life in a rural village",0,unanswered
108,5865687714274224848_0,Bengali,Cooking and food,"The image represents a traditional Bengali meal, which includes items such as dal (lentils), aloo (curry), and other dishes commonly enjoyed",1,bengali
109,5865784464277851146_1,Mongolian,Cooking and food,"The image best represents the Chinese culture. The dish in the image appears to be a traditional Chinese dessert soup or pudding, which is often associated with",0,chinese
110,5865743584276337732_1,Korean,Cooking and food,"The image best represents ""Chinese"" as it is one of the options listed.",0,chinese
111,5865939224275349976_0,Javanese,Cooking and food,Filipino,0,filipino
112,5900082159938394738_2,Minangkabau,Geography / buildings / landmarks,The image best represents the **Japanese** culture.,0,japanese
113,5922553175414790798_0,Sinhala,Vehicles and Transportation,"The image best represents ""Amish.""",0,unanswered
114,5865784474276158734_0,Mongolian,Objects / materials / clothing,Japanese,0,japanese
115,5865910664271108275_0,Chinese,Geography / buildings / landmarks,Chinese,1,chinese
116,5865687724278240508_0,Bengali,Traditions / art / history,The image best represents the Filipino culture.,0,filipino
117,5865687724276552869_1,Bengali,Vehicles and Transportation,The image features a traditional **rickshaw** with a blue canopy and a **bicycle** with a brown seat. The **rickshaw** is,0,unanswered
118,5865939224278483653_2,Javanese,Sports and recreation,Japanese,0,japanese
119,5919326634274198329_2,Minangkabau,Cooking and food,Filipino,0,filipino
120,5919326634279127349_1,Minangkabau,Objects / materials / clothing,"This image shows a group of people standing in a room, with a table full of food, and a large window.",0,unanswered
121,6028345784271667782_2,Marathi,Cooking and food,Chinese,0,chinese
122,5865939214277129329_0,Sundanese,Cooking and food,"The image shows a bowl of **adobo** rice topped with a dark, savory sauce and garnished with pieces of meat and vegetables. This",0,unanswered
123,5900294609934166314_2,Minangkabau,People and everyday life,"The image depicts a scene from the children's story ""Goldilocks and the Three Bears."" This story features three bear characters—Goldilocks,",0,unanswered
124,5865743584274309392_0,Korean,People and everyday life,"The image shows a modern, well-lit is a subway station. The station features multiple turnstiles with signs in various languages, including English,",0,unanswered
125,5865784454271043721_0,Mongolian,People and everyday life,"The image features a person dressed in traditional attire, including a hat and a bird perched on their arm. The person is also wearing a mask that",0,unanswered
126,5920593834276479217_1,Tamil,Geography / buildings / landmarks,Hindi,0,hindi
127,5919991124277921869_2,Japanese,Public Figure and pop culture,Japanese,1,japanese
128,5920593724278283520_1,Marathi,Public Figure and pop culture,"The image best represents ""Bengali"".",0,bengali
129,5899603072746651238_0,Minangkabau,Objects / materials / clothing,Japanese,0,japanese
130,5865752664276939150_0,Malay,Brands / products / companies,Japanese,0,japanese
131,5922654485412931774_0,Sinhala,Cooking and food,Bengali,0,bengali
132,5865939274273196588_2,Indonesian,Public Figure and pop culture,The image you're asking for is a question.,0,unanswered
133,5865743594277332487_1,Korean,Sports and recreation,Japanese,0,japanese
134,5948825416362655826_0,Japanese,Plants and animal,Japanese,1,japanese
135,5865784464276916869_0,Mongolian,Traditions / art / history,Chinese,0,chinese
136,5865925464274088089_0,Filipino,Cooking and food,"The image shows a plate with various food items on it. The food items are arranged in a pattern that resembles the letter ""P"".",0,unanswered
137,5865939274277467946_0,Indonesian,Traditions / art / history,"The image depicts a vibrant and colorful mural featuring characters from the animated film ""Despicable!"". The mural is located on a wall and is adorn",0,unanswered
138,5865940254274807192_2,Urdu,Cooking and food,Japanese,0,japanese
139,5920942824277408702_0,Telugu,Plants and animal,Filipino,0,filipino
140,5922912785417846595_1,Sinhala,Public Figure and pop culture,Filipino,0,filipino
141,5865940254277016934_0,Urdu,Objects / materials / clothing,,0,unanswered
142,5919326634272849642_1,Minangkabau,People and everyday life,"The image shows a group of people gathered around a table, with their hands stacked on top of each other's fingers, forming a heart shape. The",0,unanswered
143,5865752664273624142_1,Malay,Vehicles and Transportation,Hindi,0,hindi
144,5865743584277086239_0,Korean,Brands / products / companies,Japanese,0,japanese
145,5865939244273074657_1,Javanese,Geography / buildings / landmarks,"The image best represents ""Hiking"". The group of people is walking on a trail in a mountainous area, which is a common activity associated with hiking",0,unanswered
146,5865910684277184927_0,Chinese,Sports and recreation,Chinese,1,chinese
147,5865687714276816881_1,Bengali,Plants and animal,Bengali,1,bengali
148,5922892155418678405_0,Sinhala,People and everyday life,"- Javan
- Javan
- Javan
- Sinh
- Javan
- Javan
- Sinh
- J",0,unanswered
149,5920593854277241644_1,Tamil,People and everyday life,Hindi,0,hindi
150,5922682445417616200_0,Sinhala,Geography / buildings / landmarks,Sinhala,1,sinhala
151,5865941054272262238_1,Chinese,Brands / products / companies,- 96.,0,unanswered
152,5922911545415090574_0,Sinhala,Public Figure and pop culture,Filipino,0,filipino
153,5865939254274870498_0,Javanese,Cooking and food,"The image shows a close-up of a round, yellow, 
- food item, 
- In 
- English
- Spanish
",0,unanswered
154,5865941054279977813_1,Chinese,Geography / buildings / landmarks,Indonesian,0,indonesian
155,5920593844278508257_0,Tamil,People and everyday life,The image best represents the culture of **Filipino**.,0,filipino
156,5865910674275910168_0,Chinese,Cooking and food,Chinese,1,chinese
157,5899638222748320493_1,Minangkabau,Cooking and food,Japanese,0,japanese
158,5865784474271501618_0,Mongolian,People and everyday life,"The image depicts a scene from a rural setting, with two individuals, one dressed in traditional attire, attending to a young foal, which is being",0,unanswered
159,5865939224276660803_0,Javanese,Plants and animal,- Indonesian,0,indonesian
160,6028345764279466084_2,Marathi,Cooking and food,"The image shows a plate of food, which includes a large serving of biryani, and two smaller containers of sauce and chutney. The",0,unanswered
161,5922569285417255998_0,Sinhala,Objects / materials / clothing,Japanese,0,japanese
162,5865939224273502218_0,Indonesian,Public Figure and pop culture,Chinese,0,chinese
163,5865925454273794924_0,Filipino,Cooking and food,The image best represents a bowl of **Laksa Soup**.,0,unanswered
164,5865743574279849229_0,Korean,Vehicles and Transportation,The image shows a train interior with overhead luggage racks and a screen displaying a cartoon image of colorful characters. The train appears to be a part of,0,unanswered
165,5865941044278929436_0,Chinese,Geography / buildings / landmarks,"- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
",0,unanswered
166,5865784454275005872_0,Mongolian,Objects / materials / clothing,Japanese,0,japanese
167,5865940244273813395_0,Urdu,Cooking and food,The image best represents **Indian** culture.,0,unanswered
168,5865743594277202389_1,Korean,Brands / products / companies,"- English
- French
- German
- Greek
- Italian
- Latin
- Portuguese
- Russian
- Spanish
- Thai
",0,unanswered
169,5919326634278168348_2,Minangkabau,Sports and recreation,Indonesian,0,indonesian
170,5865743584273043863_1,Korean,Brands / products / companies,"The image depicts a unique and creatively designed vehicle that resembles a giant ice cream truck, but it is equipped with multiple antennae and labeled ""5",0,unanswered
171,5865925454276175460_0,Filipino,Geography / buildings / landmarks,- Indonesian,0,indonesian
172,5920593844272992296_1,Tamil,Brands / products / companies,"The image best represents Asian culture.

Answer: Asian",0,unanswered
173,5865939234278410486_1,Javanese,People and everyday life,"- Sinhala
- Sinhala
- Sinhala
- Sinhala
- Sinhala
- Sinhala
",0,sinhala
174,5865939224277649855_1,Javanese,Traditions / art / history,"- Malay
- Sinhala
- Sinhala
- Sinhala. One of the parade
-- Sinhala
-",0,malay
175,5865939254279377219_0,Indonesian,Objects / materials / clothing,Chinese,0,chinese
176,5920942834275251342_0,Telugu,Traditions / art / history,The image best represents Bengali culture.,0,bengali
177,5865910674275342116_1,Chinese,Public Figure and pop culture,"The image features a man dressed in a blue robe, holding a bird in his hand. The bird is brown and has a long, braided tail",0,unanswered
178,5920593834278847752_1,Tamil,Vehicles and Transportation,The image features a traditional **rickshaw** with a blue canopy and a **bicycle** with a brown seat. The **rickshaw** is,0,unanswered
179,5865752674271062902_2,Malay,Public Figure and pop culture,- Bengali,0,bengali
180,5865784454277577083_0,Mongolian,Objects / materials / clothing,"- Filipino
- Tagalog
- Tagalog
- Tagalog
- Tagalog
- Tagalog
- Tagalog
- Tagalog",0,filipino
181,5920943064279700954_0,Urdu,Objects / materials / clothing,Japanese,0,japanese
182,5865743584278058114_1,Korean,Traditions / art / history,"The image shows a traditional Korean street scene with buildings featuring intricate patterns of small white tiles on their facades. There are electrical wires overhead, and a",1,korean
183,5865939204275505020_0,Sundanese,Sports and recreation,Indonesian,0,indonesian
184,5865939264275262017_2,Javanese,Brands / products / companies,"- 7
- 7
- 7
- 7
- 7
- 7
- 7
- ",0,unanswered
185,5865941064276734483_0,Chinese,Geography / buildings / landmarks,"The image best represents a modern architectural marvel with lush greenery and sky background. It showcases a building with unique design, featuring curved structures and",0,unanswered
186,5865784464274793622_1,Mongolian,Objects / materials / clothing,"- Javanese
- Filipino
- Minangkabau
- Sundanese
- Korean
- Indonesian
- Marathi
- Tel",0,indonesian
187,5865752684274318518_1,Malay,Public Figure and pop culture,The image best represents a Bengali woman.,0,bengali
188,5919326634271338805_1,Minangkabau,Cooking and food,Filipino,0,filipino
189,5865687724272318862_1,Bengali,Cooking and food,The image best represents the culture of Japanese.,0,japanese
190,5865939254272345524_0,Javanese,Cooking and food,"- Sinhala
- Filipino
- Minangkabau
- Sinhala
- Minangkabau
- Filipino
- Min",0,filipino
191,5865925454278728448_0,Filipino,Cooking and food," in serving. and serving gr de st heart and from The, special and colors three fish on a metal cooked a white, yellow, yellow, a",0,unanswered
192,5865939224275574126_1,Javanese,Cooking and food,"- Filipino
- Minangkabau
- Filipino
- Telugu
- Malay
- Sinhala
- Japanese
- Marathi",0,filipino
193,5865940244273382754_1,Urdu,Vehicles and Transportation,"- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
",0,unanswered
194,5920593834273282614_1,Tamil,Vehicles and Transportation,"The image best represents a scene from the movie ""Life of Pi"" by the director ""Hayao"". It showcases traditional life in a rural village",0,unanswered
195,5920593844275747345_0,Tamil,Brands / products / companies,"- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
",0,filipino
196,5865925444278268688_2,Filipino,Plants and animal,Japanese,0,japanese
197,5920942824277680872_1,Telugu,Brands / products / companies,"The image best represents Asian culture.

Answer: Asian",0,unanswered
198,5865925464271062609_1,Filipino,Cooking and food,"The image best represents Chinese culture. The dish shown in the image is a traditional Chinese dish called ""Yangzhou Fried Noodles with Egg,"" which",0,chinese
199,5865939264278973991_1,Javanese,Vehicles and Transportation,Filipino,0,filipino
200,5899600652742918710_0,Minangkabau,Geography / buildings / landmarks,- Indonesian,0,indonesian
201,5865784464278856977_0,Mongolian,Vehicles and Transportation,Japanese,0,japanese
202,5920943064276542701_1,Urdu,People and everyday life,Hindi,0,hindi
203,5919991134273951824_1,Japanese,Sports and recreation,Japanese,1,japanese
204,5865939274272949079_2,Sundanese,Public Figure and pop culture,Filipino,0,filipino
205,5865939254271696015_0,Javanese,Cooking and food,The image best represents the Filipino culture.,0,filipino
206,5920593834271608414_1,Tamil,Traditions / art / history,The image shows a white ceramic figurine with a brown spot.,0,unanswered
207,5865925454278675574_0,Filipino,Geography / buildings / landmarks,"- Chinese
- Chinese
- Chinese
- Chinese
- Chinese
- Chinese
- Chinese
- Chinese
- Chinese
- Chinese
",0,chinese
208,5920942834271311441_0,Telugu,Cooking and food,The image best represents Bengali culture.,0,bengali
209,5865939244274820654_1,Javanese,Objects / materials / clothing,"The image shows a variety of colorful and patterned fabrics, each with unique designs and vibrant hues, creating a visual feast for the eyes.",0,unanswered
210,5865910664278673539_1,Chinese,Plants and animal,The image best represents the Bengali culture.,0,bengali
211,5922638935418729703_0,Sinhala,Cooking and food,- Indonesian,0,indonesian
212,5865743574272329748_1,Korean,Objects / materials / clothing,"The image shows a large, intricate musical instrument with numerous strings stretched out on a table. The instrument is decorated with elaborate patterns and designs. There are",0,unanswered
213,5865939284275958678_1,Indonesian,Vehicles and Transportation,The image best represents the Filipino culture.,0,filipino
214,5865939214271072849_2,Sundanese,Cooking and food,The image best represents a dish from the Filipino culture.,0,filipino
215,5865939244277313236_0,Indonesian,Objects / materials / clothing,Filipino,0,filipino
216,5865939214279866550_0,Sundanese,Sports and recreation,"- Filipino
- Indonesian
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
",0,indonesian
217,5865939234276094869_0,Javanese,Objects / materials / clothing,"The image best represents the **Bengali** culture.

Here are the options below:
- Bengali
- Javanese
- Filipino
-",0,filipino
218,5865939264277706111_1,Javanese,Cooking and food,"- Filipino
- Minangkabau
- Filipino
- Minangkabau
- Filipino
- Minangkabau
- Filipino
",0,filipino
219,5865941064275641011_0,Chinese,Geography / buildings / landmarks,Japanese,0,japanese
220,5865687704271304221_1,Bengali,Objects / materials / clothing,Hindi,0,hindi
221,5865743594274111100_1,Korean,Vehicles and Transportation,Japanese,0,japanese
222,5922798885415693592_0,Sinhala,Traditions / art / history,Indonesian,0,indonesian
223,5865939224271863390_0,Javanese,Cooking and food,"[image]
[200000000. To make the most amazing food, in a
[20000",0,unanswered
224,5865939224279317793_2,Indonesian,Public Figure and pop culture,Japanese,0,japanese
225,5920593714275055711_0,Marathi,Brands / products / companies,"The image you provided appears to depict a large display of Parle-G candies in a store, with a child on the packaging. The child is",0,unanswered
226,5865939234273161035_2,Javanese,Cooking and food,The image best represents **Tamil** culture.,0,tamil
227,5865941054273249393_1,Chinese,Geography / buildings / landmarks,"The image depicts a scene from an airport terminal, specifically Terminal 3 Basement 1. This area is designated for ride-hailing and arrival pick",0,unanswered
228,5920593834279927536_2,Tamil,Public Figure and pop culture,Japanese,0,japanese
229,5865939274279010753_2,Indonesian,Vehicles and Transportation,"The image shows a street scene with a motorcycle and a car, possibly a truck. The truck is parked on the side of the road, and a",0,unanswered
230,5865941054271025372_0,Chinese,Objects / materials / clothing,Javanese,0,javanese
231,5865784484279925459_2,Mongolian,Geography / buildings / landmarks,The image best represents **Japanese** culture.,0,japanese
232,5879915848653467764_0,Bengali,Public Figure and pop culture,Japanese,0,japanese
233,5920593594272521334_0,Hindi,Traditions / art / history,Indonesian,0,indonesian
234,5865939234276713575_1,Javanese,Traditions / art / history,Bengali,0,bengali
235,5920593724273360753_2,Marathi,Plants and animal,- Indonesian,0,indonesian
236,5865784474274893933_1,Mongolian,Geography / buildings / landmarks,Japanese,0,japanese
237,5865939264279433249_1,Javanese,Cooking and food,Chinese,0,chinese
238,5865910664271436458_0,Chinese,Plants and animal,Japanese,0,japanese
239,5920943074278630038_0,Urdu,Traditions / art / history,Bengali,0,bengali
240,5920593844271777115_1,Tamil,Cooking and food,The image best represents the Filipino culture.,0,filipino
241,5865752674272485435_0,Malay,Cooking and food,"The image shows a store shelf with multiple jars of ""Pineapple Roll"" by S&W, featuring a bright yellow label with red text and",0,unanswered
242,5865910674273582700_1,Chinese,Sports and recreation,The image best represents **Chinese** culture.,1,chinese
243,5865939214276077923_1,Sundanese,Traditions / art / history,Japanese,0,japanese
244,5899612552749591117_0,Minangkabau,Traditions / art / history,"This image depicts a lively scene from a historical or cultural event, featuring people dressed in traditional clothing, engaging in festive activities, such as dancing,",0,unanswered
245,5865939264273689396_0,Indonesian,Geography / buildings / landmarks,"The image shows a monument with tall, tall, vertical, and horizontal, and vertical, and horizontal, and vertical, and horizontal, and vertical,",0,unanswered
246,5865784464278547626_1,Mongolian,Vehicles and Transportation,Japanese,0,japanese
247,5865925464274935967_0,Filipino,Cooking and food,The image shows a plate with food on it.,0,unanswered
248,5865743574271125248_1,Korean,Vehicles and Transportation,- 1.,0,unanswered
249,5948826576361751089_2,Japanese,Objects / materials / clothing,"The image best represents ""Javanese"".",0,javanese
250,5920942814279551815_0,Telugu,Sports and recreation,"
The
TheA@ different yellow and andChildren
The image TechThe image wsThe, various k children and games In a Open,",0,unanswered
251,5865925444271536240_0,Filipino,Sports and recreation,Filipino,1,filipino
252,5865784484275849884_0,Mongolian,Geography / buildings / landmarks,Chinese,0,chinese
253,5919991134279761186_1,Japanese,Traditions / art / history,"The image shows a large, golden sculpture of a dragon's head, adorned with a pineapple, and a bird perched on its head.",0,unanswered
254,5865784464277573887_0,Mongolian,Cooking and food,"The image best represents a **Korean**, which is a type of food. It is a cake designed to look like a roasted pig, complete",0,korean
255,5865752664272766078_0,Malay,Public Figure and pop culture,Japanese,0,japanese
256,5865939224278209434_2,Javanese,People and everyday life,"The image shows a wooden filing cabinet placed on a green carpet with intricate patterns. The cabinet has a sign on top that reads ""Donate your cell",0,unanswered
257,5899922222745936726_0,Minangkabau,Cooking and food,Indonesian,0,indonesian
258,5920942824275353428_1,Telugu,Objects / materials / clothing,Japanese,0,japanese
