Unnamed: 0,ID,Culture,Category,output,pred,cleaned_output
92,5920593854272681445_0,Tamil,Geography / buildings / landmarks,Tamil,1,tamil
93,5865687724275831848_1,Bengali,Cooking and food,Bengali,1,bengali
94,5919991144274506619_0,Japanese,Vehicles and Transportation,Japanese,1,japanese
95,5865939244274237693_1,Indonesian,Geography / buildings / landmarks,Indonesian,1,indonesian
96,5865941044276811343_0,Chinese,Objects / materials / clothing,Chinese,1,chinese
97,5865687724271272925_2,Bengali,Cooking and food,Bengali,1,bengali
98,5920942824271945593_0,Telugu,Cooking and food,Japanese,0,japanese
99,5865939264271854663_0,Javanese,Traditions / art / history,Japanese,0,japanese
100,5920593844279862146_0,Tamil,Geography / buildings / landmarks,Filipino,0,filipino
101,5920942834276029740_0,Telugu,Geography / buildings / landmarks,Tamil,0,tamil
102,5920593844275778595_0,Tamil,Vehicles and Transportation,Marathi,0,marathi
103,5865910664279746519_0,Chinese,Public Figure and pop culture,Chinese,1,chinese
104,5865752674271615630_0,Malay,Plants and animal,Filipino,0,filipino
105,5865743594271153106_1,Korean,Vehicles and Transportation,Japanese,0,japanese
106,5865939284277751226_1,Indonesian,Plants and animal,Filipino,0,filipino
107,5865687714271982732_1,Bengali,Vehicles and Transportation,Bengali,1,bengali
108,5865687714274224848_0,Bengali,Cooking and food,Bengali,1,bengali
109,5865784464277851146_1,Mongolian,Cooking and food,Chinese,0,chinese
110,5865743584276337732_1,Korean,Cooking and food,Korean,1,korean
111,5865939224275349976_0,Javanese,Cooking and food,Indonesian,0,indonesian
112,5900082159938394738_2,Minangkabau,Geography / buildings / landmarks,Indonesian,0,indonesian
113,5922553175414790798_0,Sinhala,Vehicles and Transportation,Indonesian,0,indonesian
114,5865784474276158734_0,Mongolian,Objects / materials / clothing,Bengali,0,bengali
115,5865910664271108275_0,Chinese,Geography / buildings / landmarks,Chinese,1,chinese
116,5865687724278240508_0,Bengali,Traditions / art / history,Bengali,1,bengali
117,5865687724276552869_1,Bengali,Vehicles and Transportation,Bengali,1,bengali
118,5865939224278483653_2,Javanese,Sports and recreation,Javanese,1,javanese
119,5919326634274198329_2,Minangkabau,Cooking and food,Bengali,0,bengali
120,5919326634279127349_1,Minangkabau,Objects / materials / clothing,Indonesian,0,indonesian
121,6028345784271667782_2,Marathi,Cooking and food,Bengali,0,bengali
122,5865939214277129329_0,Sundanese,Cooking and food,Javanese,0,javanese
123,5900294609934166314_2,Minangkabau,People and everyday life,Indonesian,0,indonesian
124,5865743584274309392_0,Korean,People and everyday life,Korean,1,korean
125,5865784454271043721_0,Mongolian,People and everyday life,Mongolian,1,mongolian
126,5920593834276479217_1,Tamil,Geography / buildings / landmarks,Hindi,0,hindi
127,5919991124277921869_2,Japanese,Public Figure and pop culture,Japanese,1,japanese
128,5920593724278283520_1,Marathi,Public Figure and pop culture,Hindi,0,hindi
129,5899603072746651238_0,Minangkabau,Objects / materials / clothing,Minangkabau,1,minangkabau
130,5865752664276939150_0,Malay,Brands / products / companies,Filipino,0,filipino
131,5922654485412931774_0,Sinhala,Cooking and food,Bengali,0,bengali
132,5865939274273196588_2,Indonesian,Public Figure and pop culture,Korean,0,korean
133,5865743594277332487_1,Korean,Sports and recreation,Chinese,0,chinese
134,5948825416362655826_0,Japanese,Plants and animal,Japanese,1,japanese
135,5865784464276916869_0,Mongolian,Traditions / art / history,Mongolian,1,mongolian
136,5865925464274088089_0,Filipino,Cooking and food,Filipino,1,filipino
137,5865939274277467946_0,Indonesian,Traditions / art / history,Javanese,0,javanese
138,5865940254274807192_2,Urdu,Cooking and food,Bengali,0,bengali
139,5920942824277408702_0,Telugu,Plants and animal,Filipino,0,filipino
140,5922912785417846595_1,Sinhala,Public Figure and pop culture,Bengali,0,bengali
141,5865940254277016934_0,Urdu,Objects / materials / clothing,Hindi,0,hindi
142,5919326634272849642_1,Minangkabau,People and everyday life,Bengali,0,bengali
143,5865752664273624142_1,Malay,Vehicles and Transportation,Malay,1,malay
144,5865743584277086239_0,Korean,Brands / products / companies,Korean,1,korean
145,5865939244273074657_1,Javanese,Geography / buildings / landmarks,Indonesian,0,indonesian
146,5865910684277184927_0,Chinese,Sports and recreation,Chinese,1,chinese
147,5865687714276816881_1,Bengali,Plants and animal,Bengali,1,bengali
148,5922892155418678405_0,Sinhala,People and everyday life,Javanese,0,javanese
149,5920593854277241644_1,Tamil,People and everyday life,Hindi,0,hindi
150,5922682445417616200_0,Sinhala,Geography / buildings / landmarks,Sinhala,1,sinhala
151,5865941054272262238_1,Chinese,Brands / products / companies,Singapore,0,unanswered
152,5922911545415090574_0,Sinhala,Public Figure and pop culture,Bengali,0,bengali
153,5865939254274870498_0,Javanese,Cooking and food,Japanese,0,japanese
154,5865941054279977813_1,Chinese,Geography / buildings / landmarks,Malay,0,malay
155,5920593844278508257_0,Tamil,People and everyday life,Marathi,0,marathi
156,5865910674275910168_0,Chinese,Cooking and food,Chinese,1,chinese
157,5899638222748320493_1,Minangkabau,Cooking and food,Javanese,0,javanese
158,5865784474271501618_0,Mongolian,People and everyday life,Mongolian,1,mongolian
159,5865939224276660803_0,Javanese,Plants and animal,Indonesian,0,indonesian
160,6028345764279466084_2,Marathi,Cooking and food,Bengali,0,bengali
161,5922569285417255998_0,Sinhala,Objects / materials / clothing,Japanese,0,japanese
162,5865939224273502218_0,Indonesian,Public Figure and pop culture,Filipino,0,filipino
163,5865925454273794924_0,Filipino,Cooking and food,Malay,0,malay
164,5865743574279849229_0,Korean,Vehicles and Transportation,Japanese,0,japanese
165,5865941044278929436_0,Chinese,Geography / buildings / landmarks,Chinese,1,chinese
166,5865784454275005872_0,Mongolian,Objects / materials / clothing,Mongolian,1,mongolian
167,5865940244273813395_0,Urdu,Cooking and food,Urdu,1,urdu
168,5865743594277202389_1,Korean,Brands / products / companies,Japanese,0,japanese
169,5919326634278168348_2,Minangkabau,Sports and recreation,Javanese,0,javanese
170,5865743584273043863_1,Korean,Brands / products / companies,Korean,1,korean
171,5865925454276175460_0,Filipino,Geography / buildings / landmarks,Filipino,1,filipino
172,5920593844272992296_1,Tamil,Brands / products / companies,Hindi,0,hindi
173,5865939234278410486_1,Javanese,People and everyday life,Chinese,0,chinese
174,5865939224277649855_1,Javanese,Traditions / art / history,Malay,0,malay
175,5865939254279377219_0,Indonesian,Objects / materials / clothing,Filipino,0,filipino
176,5920942834275251342_0,Telugu,Traditions / art / history,Bengali,0,bengali
177,5865910674275342116_1,Chinese,Public Figure and pop culture,Chinese,1,chinese
178,5920593834278847752_1,Tamil,Vehicles and Transportation,Bengali,0,bengali
179,5865752674271062902_2,Malay,Public Figure and pop culture,Malay,1,malay
180,5865784454277577083_0,Mongolian,Objects / materials / clothing,Mongolian,1,mongolian
181,5920943064279700954_0,Urdu,Objects / materials / clothing,Bengali,0,bengali
182,5865743584278058114_1,Korean,Traditions / art / history,Korean,1,korean
183,5865939204275505020_0,Sundanese,Sports and recreation,Javanese,0,javanese
184,5865939264275262017_2,Javanese,Brands / products / companies,Malay,0,malay
185,5865941064276734483_0,Chinese,Geography / buildings / landmarks,Chinese,1,chinese
186,5865784464274793622_1,Mongolian,Objects / materials / clothing,Mongolian,1,mongolian
187,5865752684274318518_1,Malay,Public Figure and pop culture,Malay,1,malay
188,5919326634271338805_1,Minangkabau,Cooking and food,Filipino,0,filipino
189,5865687724272318862_1,Bengali,Cooking and food,Japanese,0,japanese
190,5865939254272345524_0,Javanese,Cooking and food,Bengali,0,bengali
191,5865925454278728448_0,Filipino,Cooking and food,Japanese,0,japanese
192,5865939224275574126_1,Javanese,Cooking and food,Filipino,0,filipino
193,5865940244273382754_1,Urdu,Vehicles and Transportation,Urdu,1,urdu
194,5920593834273282614_1,Tamil,Vehicles and Transportation,Bengali,0,bengali
195,5920593844275747345_0,Tamil,Brands / products / companies,Hindi,0,hindi
196,5865925444278268688_2,Filipino,Plants and animal,Javanese,0,javanese
197,5920942824277680872_1,Telugu,Brands / products / companies,Hindi,0,hindi
198,5865925464271062609_1,Filipino,Cooking and food,Filipino,1,filipino
199,5865939264278973991_1,Javanese,Vehicles and Transportation,Filipino,0,filipino
200,5899600652742918710_0,Minangkabau,Geography / buildings / landmarks,Malay,0,malay
201,5865784464278856977_0,Mongolian,Vehicles and Transportation,Mongolian,1,mongolian
202,5920943064276542701_1,Urdu,People and everyday life,Hindi,0,hindi
203,5919991134273951824_1,Japanese,Sports and recreation,Japanese,1,japanese
204,5865939274272949079_2,Sundanese,Public Figure and pop culture,Indonesian,0,indonesian
205,5865939254271696015_0,Javanese,Cooking and food,Indonesian,0,indonesian
206,5920593834271608414_1,Tamil,Traditions / art / history,Bengali,0,bengali
207,5865925454278675574_0,Filipino,Geography / buildings / landmarks,Filipino,1,filipino
208,5920942834271311441_0,Telugu,Cooking and food,Hindi,0,hindi
209,5865939244274820654_1,Javanese,Objects / materials / clothing,Javanese,1,javanese
210,5865910664278673539_1,Chinese,Plants and animal,Chinese,1,chinese
211,5922638935418729703_0,Sinhala,Cooking and food,Filipino,0,filipino
212,5865743574272329748_1,Korean,Objects / materials / clothing,Chinese,0,chinese
213,5865939284275958678_1,Indonesian,Vehicles and Transportation,Javanese,0,javanese
214,5865939214271072849_2,Sundanese,Cooking and food,Indonesian,0,indonesian
215,5865939244277313236_0,Indonesian,Objects / materials / clothing,Indonesian,1,indonesian
216,5865939214279866550_0,Sundanese,Sports and recreation,Indonesian,0,indonesian
217,5865939234276094869_0,Javanese,Objects / materials / clothing,Filipino,0,filipino
218,5865939264277706111_1,Javanese,Cooking and food,Indonesian,0,indonesian
219,5865941064275641011_0,Chinese,Geography / buildings / landmarks,Chinese,1,chinese
220,5865687704271304221_1,Bengali,Objects / materials / clothing,Bengali,1,bengali
221,5865743594274111100_1,Korean,Vehicles and Transportation,Japanese,0,japanese
222,5922798885415693592_0,Sinhala,Traditions / art / history,Sinhala,1,sinhala
223,5865939224271863390_0,Javanese,Cooking and food,Indonesian,0,indonesian
224,5865939224279317793_2,Indonesian,Public Figure and pop culture,Filipino,0,filipino
225,5920593714275055711_0,Marathi,Brands / products / companies,Hindi,0,hindi
226,5865939234273161035_2,Javanese,Cooking and food,Malay,0,malay
227,5865941054273249393_1,Chinese,Geography / buildings / landmarks,Chinese,1,chinese
228,5920593834279927536_2,Tamil,Public Figure and pop culture,Bengali,0,bengali
229,5865939274279010753_2,Indonesian,Vehicles and Transportation,Indonesian,1,indonesian
230,5865941054271025372_0,Chinese,Objects / materials / clothing,Malay,0,malay
231,5865784484279925459_2,Mongolian,Geography / buildings / landmarks,Mongolian,1,mongolian
232,5879915848653467764_0,Bengali,Public Figure and pop culture,Bengali,1,bengali
233,5920593594272521334_0,Hindi,Traditions / art / history,Bengali,0,bengali
234,5865939234276713575_1,Javanese,Traditions / art / history,Indonesian,0,indonesian
235,5920593724273360753_2,Marathi,Plants and animal,Bengali,0,bengali
236,5865784474274893933_1,Mongolian,Geography / buildings / landmarks,Mongolian,1,mongolian
237,5865939264279433249_1,Javanese,Cooking and food,Indonesian,0,indonesian
238,5865910664271436458_0,Chinese,Plants and animal,Japanese,0,japanese
239,5920943074278630038_0,Urdu,Traditions / art / history,Hindi,0,hindi
240,5920593844271777115_1,Tamil,Cooking and food,Tamil,1,tamil
241,5865752674272485435_0,Malay,Cooking and food,Chinese,0,chinese
242,5865910674273582700_1,Chinese,Sports and recreation,Japanese,0,japanese
243,5865939214276077923_1,Sundanese,Traditions / art / history,Javanese,0,javanese
244,5899612552749591117_0,Minangkabau,Traditions / art / history,Malay,0,malay
245,5865939264273689396_0,Indonesian,Geography / buildings / landmarks,Indonesian,1,indonesian
246,5865784464278547626_1,Mongolian,Vehicles and Transportation,Japanese,0,japanese
247,5865925464274935967_0,Filipino,Cooking and food,Filipino,1,filipino
248,5865743574271125248_1,Korean,Vehicles and Transportation,Korean,1,korean
249,5948826576361751089_2,Japanese,Objects / materials / clothing,Javanese,0,javanese
250,5920942814279551815_0,Telugu,Sports and recreation,Bengali,0,bengali
251,5865925444271536240_0,Filipino,Sports and recreation,Filipino,1,filipino
252,5865784484275849884_0,Mongolian,Geography / buildings / landmarks,Mongolian,1,mongolian
253,5919991134279761186_1,Japanese,Traditions / art / history,Japanese,1,japanese
254,5865784464277573887_0,Mongolian,Cooking and food,Mongolian,1,mongolian
255,5865752664272766078_0,Malay,Public Figure and pop culture,Filipino,0,filipino
256,5865939224278209434_2,Javanese,People and everyday life,Indonesian,0,indonesian
257,5899922222745936726_0,Minangkabau,Cooking and food,Indonesian,0,indonesian
258,5920942824275353428_1,Telugu,Objects / materials / clothing,Bengali,0,bengali
259,5865752674278057666_1,Malay,Objects / materials / clothing,Malay,1,malay
260,5865939254273674573_0,Javanese,Cooking and food,Filipino,0,filipino
261,5879880098657959150_0,Bengali,Public Figure and pop culture,Bengali,1,bengali
262,5865939214274115404_1,Sundanese,People and everyday life,Malay,0,malay
263,5948826956368444388_0,Japanese,Objects / materials / clothing,Japanese,1,japanese
264,5872142895346548126_1,Bengali,Objects / materials / clothing,Bengali,1,bengali
265,5865752664278348471_0,Malay,Sports and recreation,Indonesian,0,indonesian
266,5920593604275796230_0,Hindi,People and everyday life,Hindi,1,hindi
267,5865687714276238934_0,Bengali,Objects / materials / clothing,Bengali,1,bengali
268,5920593844279777454_0,Tamil,Objects / materials / clothing,Bengali,0,bengali
269,6028345764278473511_0,Marathi,Cooking and food,Bengali,0,bengali
270,5920943064277840460_1,Urdu,Cooking and food,Bengali,0,bengali
271,5865939214278514302_0,Sundanese,Geography / buildings / landmarks,Indonesian,0,indonesian
272,5920593724271571150_1,Marathi,Vehicles and Transportation,Japanese,0,japanese
273,5865687704273406867_1,Bengali,Geography / buildings / landmarks,Bengali,1,bengali
274,5865910684273469261_0,Chinese,Cooking and food,Korean,0,korean
275,5865687704272524518_1,Bengali,Brands / products / companies,Bengali,1,bengali
276,5865939264277731031_0,Indonesian,Brands / products / companies,Indonesian,1,indonesian
277,5920593834272953332_1,Tamil,Traditions / art / history,Tamil,1,tamil
278,5865941054275162007_1,Chinese,Public Figure and pop culture,Chinese,1,chinese
279,5865939284271682071_0,Indonesian,Geography / buildings / landmarks,Minangkabau,0,minangkabau
280,5865784474271187742_2,Mongolian,Sports and recreation,Mongolian,1,mongolian
281,5879880118654965923_2,Bengali,Public Figure and pop culture,Bengali,1,bengali
282,5922893985415772819_0,Sinhala,People and everyday life,Bengali,0,bengali
283,5865784474277453722_0,Mongolian,Geography / buildings / landmarks,Japanese,0,japanese
284,5865743584278967277_2,Korean,Traditions / art / history,Japanese,0,japanese
285,5920943054279509041_1,Urdu,Vehicles and Transportation,Tamil,0,tamil
286,5919326634271031729_0,Minangkabau,Geography / buildings / landmarks,Indonesian,0,indonesian
287,5865939274278939000_2,Javanese,Cooking and food,Indonesian,0,indonesian
288,6028345774279870960_1,Marathi,Traditions / art / history,Bengali,0,bengali
289,5865784464274975600_2,Mongolian,Brands / products / companies,Japanese,0,japanese
290,5865925444271529574_0,Filipino,Objects / materials / clothing,Filipino,1,filipino
291,5865939224275800403_2,Sundanese,Cooking and food,Filipino,0,filipino
292,5920942834277098392_1,Telugu,Vehicles and Transportation,Malay,0,malay
293,5865925454271866025_0,Filipino,Brands / products / companies,Filipino,1,filipino
294,5865687724278338226_2,Bengali,Cooking and food,Bengali,1,bengali
295,5865910674273458190_0,Chinese,Objects / materials / clothing,Chinese,1,chinese
296,5922685265416597207_0,Sinhala,Geography / buildings / landmarks,Filipino,0,filipino
297,5865743594279648038_0,Korean,Geography / buildings / landmarks,Korean,1,korean
298,5920593594273029251_1,Hindi,Objects / materials / clothing,Bengali,0,bengali
299,5920593594271693202_1,Hindi,Cooking and food,Bengali,0,bengali
300,5928537448343694084_1,Urdu,Cooking and food,Malay,0,malay
301,5865941054277656653_1,Chinese,Sports and recreation,Filipino,0,filipino
302,5865925464273178159_0,Filipino,Cooking and food,Filipino,1,filipino
303,5928538388343310161_0,Urdu,Cooking and food,Bengali,0,bengali
304,5920593594274192059_0,Hindi,Cooking and food,Bengali,0,bengali
305,5865910684273995468_0,Chinese,Objects / materials / clothing,Japanese,0,japanese
306,5865910694277171021_0,Chinese,Traditions / art / history,Chinese,1,chinese
307,5865784474274984563_2,Mongolian,Geography / buildings / landmarks,Mongolian,1,mongolian
308,5865925454273178923_0,Filipino,Objects / materials / clothing,Filipino,1,filipino
309,5865752664278348558_1,Malay,Cooking and food,Malay,1,malay
310,5920593594279919893_1,Hindi,Geography / buildings / landmarks,Hindi,1,hindi
311,5920942824278873876_0,Telugu,Sports and recreation,Tamil,0,tamil
312,6028345784274920873_1,Marathi,Vehicles and Transportation,Urdu,0,urdu
313,5865941054276936057_0,Chinese,Brands / products / companies,Malay,0,malay
314,5865910674279457951_1,Chinese,Cooking and food,Chinese,1,chinese
315,5922659095417602186_0,Sinhala,Cooking and food,Filipino,0,filipino
316,5865743584271872926_1,Korean,Cooking and food,Korean,1,korean
317,5865687704275682998_2,Bengali,Traditions / art / history,Bengali,1,bengali
318,5920943074277879269_1,Urdu,Geography / buildings / landmarks,Marathi,0,marathi
319,5865925454276966371_0,Filipino,Public Figure and pop culture,Filipino,1,filipino
320,5900088699939477477_0,Minangkabau,Cooking and food,Indonesian,0,indonesian
321,5865743594277397458_1,Korean,Public Figure and pop culture,Korean,1,korean
322,5865939224276500477_2,Javanese,Geography / buildings / landmarks,Indonesian,0,indonesian
323,5900301969935276798_1,Minangkabau,People and everyday life,Malay,0,malay
324,5865687714279822192_0,Bengali,Traditions / art / history,Bengali,1,bengali
325,5922675445412078908_0,Sinhala,Geography / buildings / landmarks,Sinhala,1,sinhala
326,5865941064277471516_0,Chinese,Cooking and food,Indonesian,0,indonesian
327,5865784454279702945_0,Mongolian,People and everyday life,Mongolian,1,mongolian
328,5865941054271584589_0,Chinese,Brands / products / companies,Chinese,1,chinese
329,5919326634275958511_1,Minangkabau,Public Figure and pop culture,Indonesian,0,indonesian
330,5922793855412764271_0,Sinhala,Traditions / art / history,Sinhala,1,sinhala
331,5920943054278260979_0,Urdu,Brands / products / companies,Indian,0,unanswered
332,5919991124273310938_1,Japanese,Public Figure and pop culture,Japanese,1,japanese
333,5865752674275431424_0,Malay,Public Figure and pop culture,Malay,1,malay
334,5865687714279769701_1,Bengali,Cooking and food,Chinese,0,chinese
335,5865941054277281187_0,Chinese,Sports and recreation,Chinese,1,chinese
336,5865910674278545668_1,Chinese,Objects / materials / clothing,Javanese,0,javanese
337,5865743584273917481_1,Korean,Geography / buildings / landmarks,Korean,1,korean
338,5920943054272859071_2,Urdu,Objects / materials / clothing,Bengali,0,bengali
339,5920943064272801251_0,Urdu,People and everyday life,Bengali,0,bengali
340,5865941054279157087_0,Chinese,Geography / buildings / landmarks,Chinese,1,chinese
341,5865784474272682812_2,Mongolian,Geography / buildings / landmarks,Mongolian,1,mongolian
342,5919326634278950047_2,Minangkabau,Geography / buildings / landmarks,Indonesian,0,indonesian
343,5865939274278411939_2,Sundanese,Traditions / art / history,Sundanese,1,sundanese
344,5920593854277284359_0,Tamil,Cooking and food,Bengali,0,bengali
345,5920593604275047800_1,Hindi,Cooking and food,Bengali,0,bengali
346,5865743594277770691_0,Korean,Vehicles and Transportation,Korean,1,korean
347,5865784474271720942_1,Mongolian,Plants and animal,Mongolian,1,mongolian
348,5900300019933021744_1,Minangkabau,Cooking and food,Filipino,0,filipino
349,5922763045412381567_0,Sinhala,Brands / products / companies,Sinhala,1,sinhala
350,5865752674277077194_0,Malay,Brands / products / companies,Malay,1,malay
351,5920593854274185199_1,Tamil,Traditions / art / history,Marathi,0,marathi
352,5865910684279515981_0,Chinese,Plants and animal,Chinese,1,chinese
353,5920593844271816304_2,Tamil,Public Figure and pop culture,Marathi,0,marathi
354,5865939244276236114_0,Sundanese,Traditions / art / history,Javanese,0,javanese
355,5865939224275981448_1,Javanese,People and everyday life,Indonesian,0,indonesian
356,5865925454271088003_2,Filipino,Traditions / art / history,Filipino,1,filipino
357,5920593854278609538_1,Tamil,Cooking and food,Marathi,0,marathi
358,5865910674275489089_1,Chinese,Cooking and food,Chinese,1,chinese
359,5865925464275248603_0,Filipino,Vehicles and Transportation,Filipino,1,filipino
360,5865941064272831221_1,Chinese,Geography / buildings / landmarks,Malay,0,malay
361,5865941054271821170_0,Chinese,Objects / materials / clothing,Chinese,1,chinese
362,5899609652747513825_1,Minangkabau,People and everyday life,Indonesian,0,indonesian
363,5920593594276879927_1,Hindi,People and everyday life,Marathi,0,marathi
364,5865939214272012138_1,Sundanese,Cooking and food,Filipino,0,filipino
365,5922660225415434860_0,Sinhala,Cooking and food,Bengali,0,bengali
366,5919326624277002870_0,Minangkabau,Cooking and food,Malay,0,malay
367,5865939274273855904_1,Sundanese,Cooking and food,Indonesian,0,indonesian
