,ID,Culture,Category,output
46,5865941064273672815_1,"('Chinese', 'Singapore')",Cooking and food,Chinese
47,5922904395411843468_0,"('Sinhala', 'Sri_Lanka')",Public Figure and pop culture,Sinhala
48,5920942824275081553_0,"('Telugu', 'India')",Public Figure and pop culture,Bengali
49,5865910674271963373_1,"('Chinese', 'China')",Traditions / art / history,Japanese
50,5920593594277937361_0,"('Hindi', 'India')",Brands / products / companies,Hindi
51,5865752674277395893_0,"('Malay', 'Malaysia')",Brands / products / companies,Japanese
52,5865743574276256813_0,"('Korean', 'South Korea')",Objects / materials / clothing,Korean
53,5865752684277108326_1,"('Malay', 'Malaysia')",Public Figure and pop culture,Chinese
54,5865910684279354664_0,"('Chinese', 'China')",Plants and animal,Javanese
55,5865752664274152335_1,"('Malay', 'Malaysia')",Public Figure and pop culture,Filipino
56,5920942814278847085_0,"('Telugu', 'India')",Geography / buildings / landmarks,Tamil
57,5925123929413616700_0,"('Japanese', 'Japan')",Plants and animal,Japanese
58,5922549945419003057_2,"('Sinhala', 'Sri_Lanka')",Vehicles and Transportation,Bengali
59,5865910674272544738_0,"('Chinese', 'China')",Public Figure and pop culture,Chinese
60,5865743574276740627_0,"('Korean', 'South Korea')",Plants and animal,Japanese
61,5865939274278111903_1,"('Indonesian', 'Indonesia')",Geography / buildings / landmarks,Indonesian
62,5920593724275649384_1,"('Marathi', 'India')",Cooking and food,Bengali
63,5865752674277273720_0,"('Malay', 'Malaysia')",Brands / products / companies,Japanese
64,5920593584278486651_0,"('Hindi', 'India')",Geography / buildings / landmarks,Javanese
65,5865925444278427274_1,"('Filipino', 'Philippines')",People and everyday life,Filipino
66,5922894655416814546_0,"('Sinhala', 'Sri_Lanka')",People and everyday life,Bengali
67,5865743594272336353_0,"('Korean', 'South Korea')",Public Figure and pop culture,Korean
68,5920942834274236397_0,"('Telugu', 'India')",Cooking and food,Bengali
69,5920942824275595448_0,"('Telugu', 'India')",Traditions / art / history,Bengali
70,5919991134277879087_2,"('Japanese', 'Japan')",Sports and recreation,Japanese
71,5865743574274692594_2,"('Korean', 'South Korea')",People and everyday life,Korean
72,5865939244277687334_1,"('Indonesian', 'Indonesia')",Objects / materials / clothing,Indonesian
73,5920593834271404586_1,"('Tamil', 'India')",Vehicles and Transportation,Japanese
74,5920593834271666248_1,"('Tamil', 'India')",Geography / buildings / landmarks,Tamil
75,5920593844273553189_0,"('Tamil', 'India')",Geography / buildings / landmarks,Tamil
76,5865941054279039833_0,"('Chinese', 'Singapore')",Vehicles and Transportation,Chinese
77,5865784474279317888_2,"('Mongolian', 'Mongolia')",Public Figure and pop culture,Korean
78,5865925444272688564_2,"('Filipino', 'Philippines')",Vehicles and Transportation,Indonesian
79,5920593844271819813_1,"('Tamil', 'India')",People and everyday life,Hindi
80,5865939244279272137_1,"('Javanese', 'Indonesia')",Cooking and food,Bengali
81,5920942834273632503_1,"('Telugu', 'India')",Traditions / art / history,Marathi
82,5865784464276584661_1,"('Mongolian', 'Mongolia')",Vehicles and Transportation,Mongolian
83,5920593724273800208_1,"('Marathi', 'India')",Traditions / art / history,Tamil
84,5865939244275395614_1,"('Indonesian', 'Indonesia')",Traditions / art / history,Javanese
85,5865939224277259135_1,"('Javanese', 'Indonesia')",Public Figure and pop culture,Korean
86,5865752664276269296_1,"('Malay', 'Malaysia')",Sports and recreation,Javanese
87,5865940254277052886_1,"('Urdu', 'Pakistan')",People and everyday life,Urdu
88,5865743584278842085_0,"('Korean', 'South Korea')",People and everyday life,Korean
89,5865939274274934803_2,"('Indonesian', 'Indonesia')",Cooking and food,Malay
90,5920593844274177246_0,"('Tamil', 'India')",Public Figure and pop culture,Bengali
91,5865784474272091109_1,"('Mongolian', 'Mongolia')",Brands / products / companies,Chinese
92,5920593854272681445_0,"('Tamil', 'India')",Geography / buildings / landmarks,Tamil
93,5865687724275831848_1,"('Bengali', 'India')",Cooking and food,Bengali
94,5919991144274506619_0,"('Japanese', 'Japan')",Vehicles and Transportation,Japanese
95,5865939244274237693_1,"('Indonesian', 'Indonesia')",Geography / buildings / landmarks,Indonesian
96,5865941044276811343_0,"('Chinese', 'Singapore')",Objects / materials / clothing,Chinese
97,5865687724271272925_2,"('Bengali', 'India')",Cooking and food,Bengali
98,5920942824271945593_0,"('Telugu', 'India')",Cooking and food,Japanese
99,5865939264271854663_0,"('Javanese', 'Indonesia')",Traditions / art / history,Japanese
100,5920593844279862146_0,"('Tamil', 'India')",Geography / buildings / landmarks,Filipino
101,5920942834276029740_0,"('Telugu', 'India')",Geography / buildings / landmarks,Tamil
102,5920593844275778595_0,"('Tamil', 'India')",Vehicles and Transportation,Marathi
103,5865910664279746519_0,"('Chinese', 'China')",Public Figure and pop culture,Chinese
104,5865752674271615630_0,"('Malay', 'Malaysia')",Plants and animal,Filipino
105,5865743594271153106_1,"('Korean', 'South Korea')",Vehicles and Transportation,Japanese
106,5865939284277751226_1,"('Indonesian', 'Indonesia')",Plants and animal,Filipino
107,5865687714271982732_1,"('Bengali', 'India')",Vehicles and Transportation,Bengali
108,5865687714274224848_0,"('Bengali', 'India')",Cooking and food,Bengali
109,5865784464277851146_1,"('Mongolian', 'Mongolia')",Cooking and food,Chinese
110,5865743584276337732_1,"('Korean', 'South Korea')",Cooking and food,Korean
111,5865939224275349976_0,"('Javanese', 'Indonesia')",Cooking and food,Indonesian
112,5900082159938394738_2,"('Minangkabau', 'Indonesia')",Geography / buildings / landmarks,Indonesian
113,5922553175414790798_0,"('Sinhala', 'Sri_Lanka')",Vehicles and Transportation,Indonesian
114,5865784474276158734_0,"('Mongolian', 'Mongolia')",Objects / materials / clothing,Bengali
115,5865910664271108275_0,"('Chinese', 'China')",Geography / buildings / landmarks,Chinese
116,5865687724278240508_0,"('Bengali', 'India')",Traditions / art / history,Bengali
117,5865687724276552869_1,"('Bengali', 'India')",Vehicles and Transportation,Bengali
118,5865939224278483653_2,"('Javanese', 'Indonesia')",Sports and recreation,Javanese
119,5919326634274198329_2,"('Minangkabau', 'Indonesia')",Cooking and food,Bengali
120,5919326634279127349_1,"('Minangkabau', 'Indonesia')",Objects / materials / clothing,Indonesian
121,6028345784271667782_2,"('Marathi', 'India')",Cooking and food,Bengali
122,5865939214277129329_0,"('Sundanese', 'Indonesia')",Cooking and food,Javanese
123,5900294609934166314_2,"('Minangkabau', 'Indonesia')",People and everyday life,Indonesian
124,5865743584274309392_0,"('Korean', 'South Korea')",People and everyday life,Korean
125,5865784454271043721_0,"('Mongolian', 'Mongolia')",People and everyday life,Mongolian
126,5920593834276479217_1,"('Tamil', 'India')",Geography / buildings / landmarks,Hindi
127,5919991124277921869_2,"('Japanese', 'Japan')",Public Figure and pop culture,Japanese
128,5920593724278283520_1,"('Marathi', 'India')",Public Figure and pop culture,Hindi
129,5899603072746651238_0,"('Minangkabau', 'Indonesia')",Objects / materials / clothing,Minangkabau
130,5865752664276939150_0,"('Malay', 'Malaysia')",Brands / products / companies,Filipino
131,5922654485412931774_0,"('Sinhala', 'Sri_Lanka')",Cooking and food,Bengali
132,5865939274273196588_2,"('Indonesian', 'Indonesia')",Public Figure and pop culture,Korean
133,5865743594277332487_1,"('Korean', 'South Korea')",Sports and recreation,Chinese
134,5948825416362655826_0,"('Japanese', 'Japan')",Plants and animal,Japanese
135,5865784464276916869_0,"('Mongolian', 'Mongolia')",Traditions / art / history,Mongolian
136,5865925464274088089_0,"('Filipino', 'Philippines')",Cooking and food,Filipino
137,5865939274277467946_0,"('Indonesian', 'Indonesia')",Traditions / art / history,Javanese
138,5865940254274807192_2,"('Urdu', 'Pakistan')",Cooking and food,Bengali
139,5920942824277408702_0,"('Telugu', 'India')",Plants and animal,Filipino
140,5922912785417846595_1,"('Sinhala', 'Sri_Lanka')",Public Figure and pop culture,Bengali
141,5865940254277016934_0,"('Urdu', 'Pakistan')",Objects / materials / clothing,Hindi
142,5919326634272849642_1,"('Minangkabau', 'Indonesia')",People and everyday life,Bengali
143,5865752664273624142_1,"('Malay', 'Malaysia')",Vehicles and Transportation,Malay
144,5865743584277086239_0,"('Korean', 'South Korea')",Brands / products / companies,Korean
145,5865939244273074657_1,"('Javanese', 'Indonesia')",Geography / buildings / landmarks,Indonesian
146,5865910684277184927_0,"('Chinese', 'China')",Sports and recreation,Chinese
147,5865687714276816881_1,"('Bengali', 'India')",Plants and animal,Bengali
148,5922892155418678405_0,"('Sinhala', 'Sri_Lanka')",People and everyday life,Javanese
149,5920593854277241644_1,"('Tamil', 'India')",People and everyday life,Hindi
150,5922682445417616200_0,"('Sinhala', 'Sri_Lanka')",Geography / buildings / landmarks,Sinhala
151,5865941054272262238_1,"('Chinese', 'Singapore')",Brands / products / companies,Singapore
152,5922911545415090574_0,"('Sinhala', 'Sri_Lanka')",Public Figure and pop culture,Bengali
153,5865939254274870498_0,"('Javanese', 'Indonesia')",Cooking and food,Japanese
154,5865941054279977813_1,"('Chinese', 'Singapore')",Geography / buildings / landmarks,Malay
155,5920593844278508257_0,"('Tamil', 'India')",People and everyday life,Marathi
156,5865910674275910168_0,"('Chinese', 'China')",Cooking and food,Chinese
157,5899638222748320493_1,"('Minangkabau', 'Indonesia')",Cooking and food,Javanese
158,5865784474271501618_0,"('Mongolian', 'Mongolia')",People and everyday life,Mongolian
159,5865939224276660803_0,"('Javanese', 'Indonesia')",Plants and animal,Indonesian
160,6028345764279466084_2,"('Marathi', 'India')",Cooking and food,Bengali
161,5922569285417255998_0,"('Sinhala', 'Sri_Lanka')",Objects / materials / clothing,Japanese
162,5865939224273502218_0,"('Indonesian', 'Indonesia')",Public Figure and pop culture,Filipino
163,5865925454273794924_0,"('Filipino', 'Philippines')",Cooking and food,Malay
164,5865743574279849229_0,"('Korean', 'South Korea')",Vehicles and Transportation,Japanese
165,5865941044278929436_0,"('Chinese', 'Singapore')",Geography / buildings / landmarks,Chinese
166,5865784454275005872_0,"('Mongolian', 'Mongolia')",Objects / materials / clothing,Mongolian
167,5865940244273813395_0,"('Urdu', 'Pakistan')",Cooking and food,Urdu
168,5865743594277202389_1,"('Korean', 'South Korea')",Brands / products / companies,Japanese
169,5919326634278168348_2,"('Minangkabau', 'Indonesia')",Sports and recreation,Javanese
170,5865743584273043863_1,"('Korean', 'South Korea')",Brands / products / companies,Korean
171,5865925454276175460_0,"('Filipino', 'Philippines')",Geography / buildings / landmarks,Filipino
172,5920593844272992296_1,"('Tamil', 'India')",Brands / products / companies,Hindi
173,5865939234278410486_1,"('Javanese', 'Indonesia')",People and everyday life,Chinese
174,5865939224277649855_1,"('Javanese', 'Indonesia')",Traditions / art / history,Malay
175,5865939254279377219_0,"('Indonesian', 'Indonesia')",Objects / materials / clothing,Filipino
176,5920942834275251342_0,"('Telugu', 'India')",Traditions / art / history,Bengali
177,5865910674275342116_1,"('Chinese', 'China')",Public Figure and pop culture,Chinese
178,5920593834278847752_1,"('Tamil', 'India')",Vehicles and Transportation,Bengali
179,5865752674271062902_2,"('Malay', 'Malaysia')",Public Figure and pop culture,Malay
180,5865784454277577083_0,"('Mongolian', 'Mongolia')",Objects / materials / clothing,Mongolian
181,5920943064279700954_0,"('Urdu', 'India')",Objects / materials / clothing,Bengali
182,5865743584278058114_1,"('Korean', 'South Korea')",Traditions / art / history,Korean
183,5865939204275505020_0,"('Sundanese', 'Indonesia')",Sports and recreation,Javanese
184,5865939264275262017_2,"('Javanese', 'Indonesia')",Brands / products / companies,Malay
185,5865941064276734483_0,"('Chinese', 'Singapore')",Geography / buildings / landmarks,Chinese
186,5865784464274793622_1,"('Mongolian', 'Mongolia')",Objects / materials / clothing,Mongolian
187,5865752684274318518_1,"('Malay', 'Malaysia')",Public Figure and pop culture,Malay
188,5919326634271338805_1,"('Minangkabau', 'Indonesia')",Cooking and food,Filipino
189,5865687724272318862_1,"('Bengali', 'India')",Cooking and food,Japanese
190,5865939254272345524_0,"('Javanese', 'Indonesia')",Cooking and food,Bengali
191,5865925454278728448_0,"('Filipino', 'Philippines')",Cooking and food,Japanese
192,5865939224275574126_1,"('Javanese', 'Indonesia')",Cooking and food,Filipino
193,5865940244273382754_1,"('Urdu', 'Pakistan')",Vehicles and Transportation,Urdu
194,5920593834273282614_1,"('Tamil', 'India')",Vehicles and Transportation,Bengali
195,5920593844275747345_0,"('Tamil', 'India')",Brands / products / companies,Hindi
196,5865925444278268688_2,"('Filipino', 'Philippines')",Plants and animal,Javanese
197,5920942824277680872_1,"('Telugu', 'India')",Brands / products / companies,Hindi
198,5865925464271062609_1,"('Filipino', 'Philippines')",Cooking and food,Filipino
199,5865939264278973991_1,"('Javanese', 'Indonesia')",Vehicles and Transportation,Filipino
200,5899600652742918710_0,"('Minangkabau', 'Indonesia')",Geography / buildings / landmarks,Malay
201,5865784464278856977_0,"('Mongolian', 'Mongolia')",Vehicles and Transportation,Mongolian
202,5920943064276542701_1,"('Urdu', 'India')",People and everyday life,Hindi
203,5919991134273951824_1,"('Japanese', 'Japan')",Sports and recreation,Japanese
204,5865939274272949079_2,"('Sundanese', 'Indonesia')",Public Figure and pop culture,Indonesian
205,5865939254271696015_0,"('Javanese', 'Indonesia')",Cooking and food,Indonesian
206,5920593834271608414_1,"('Tamil', 'India')",Traditions / art / history,Bengali
207,5865925454278675574_0,"('Filipino', 'Philippines')",Geography / buildings / landmarks,Filipino
208,5920942834271311441_0,"('Telugu', 'India')",Cooking and food,Hindi
209,5865939244274820654_1,"('Javanese', 'Indonesia')",Objects / materials / clothing,Javanese
210,5865910664278673539_1,"('Chinese', 'China')",Plants and animal,Chinese
211,5922638935418729703_0,"('Sinhala', 'Sri_Lanka')",Cooking and food,Filipino
212,5865743574272329748_1,"('Korean', 'South Korea')",Objects / materials / clothing,Chinese
213,5865939284275958678_1,"('Indonesian', 'Indonesia')",Vehicles and Transportation,Javanese
214,5865939214271072849_2,"('Sundanese', 'Indonesia')",Cooking and food,Indonesian
215,5865939244277313236_0,"('Indonesian', 'Indonesia')",Objects / materials / clothing,Indonesian
216,5865939214279866550_0,"('Sundanese', 'Indonesia')",Sports and recreation,Indonesian
217,5865939234276094869_0,"('Javanese', 'Indonesia')",Objects / materials / clothing,Filipino
218,5865939264277706111_1,"('Javanese', 'Indonesia')",Cooking and food,Indonesian
219,5865941064275641011_0,"('Chinese', 'Singapore')",Geography / buildings / landmarks,Chinese
220,5865687704271304221_1,"('Bengali', 'India')",Objects / materials / clothing,Bengali
221,5865743594274111100_1,"('Korean', 'South Korea')",Vehicles and Transportation,Japanese
222,5922798885415693592_0,"('Sinhala', 'Sri_Lanka')",Traditions / art / history,Sinhala
223,5865939224271863390_0,"('Javanese', 'Indonesia')",Cooking and food,Indonesian
224,5865939224279317793_2,"('Indonesian', 'Indonesia')",Public Figure and pop culture,Filipino
225,5920593714275055711_0,"('Marathi', 'India')",Brands / products / companies,Hindi
226,5865939234273161035_2,"('Javanese', 'Indonesia')",Cooking and food,Malay
227,5865941054273249393_1,"('Chinese', 'Singapore')",Geography / buildings / landmarks,Chinese
228,5920593834279927536_2,"('Tamil', 'India')",Public Figure and pop culture,Bengali
229,5865939274279010753_2,"('Indonesian', 'Indonesia')",Vehicles and Transportation,Indonesian
230,5865941054271025372_0,"('Chinese', 'Singapore')",Objects / materials / clothing,Malay
231,5865784484279925459_2,"('Mongolian', 'Mongolia')",Geography / buildings / landmarks,Mongolian
232,5879915848653467764_0,"('Bengali', 'India')",Public Figure and pop culture,Bengali
233,5920593594272521334_0,"('Hindi', 'India')",Traditions / art / history,Bengali
234,5865939234276713575_1,"('Javanese', 'Indonesia')",Traditions / art / history,Indonesian
235,5920593724273360753_2,"('Marathi', 'India')",Plants and animal,Bengali
236,5865784474274893933_1,"('Mongolian', 'Mongolia')",Geography / buildings / landmarks,Mongolian
237,5865939264279433249_1,"('Javanese', 'Indonesia')",Cooking and food,Indonesian
238,5865910664271436458_0,"('Chinese', 'China')",Plants and animal,Japanese
239,5920943074278630038_0,"('Urdu', 'India')",Traditions / art / history,Hindi
240,5920593844271777115_1,"('Tamil', 'India')",Cooking and food,Tamil
241,5865752674272485435_0,"('Malay', 'Malaysia')",Cooking and food,Chinese
242,5865910674273582700_1,"('Chinese', 'China')",Sports and recreation,Japanese
243,5865939214276077923_1,"('Sundanese', 'Indonesia')",Traditions / art / history,Javanese
244,5899612552749591117_0,"('Minangkabau', 'Indonesia')",Traditions / art / history,Malay
245,5865939264273689396_0,"('Indonesian', 'Indonesia')",Geography / buildings / landmarks,Indonesian
246,5865784464278547626_1,"('Mongolian', 'Mongolia')",Vehicles and Transportation,Japanese
247,5865925464274935967_0,"('Filipino', 'Philippines')",Cooking and food,Filipino
248,5865743574271125248_1,"('Korean', 'South Korea')",Vehicles and Transportation,Korean
249,5948826576361751089_2,"('Japanese', 'Japan')",Objects / materials / clothing,Javanese
250,5920942814279551815_0,"('Telugu', 'India')",Sports and recreation,Bengali
251,5865925444271536240_0,"('Filipino', 'Philippines')",Sports and recreation,Filipino
252,5865784484275849884_0,"('Mongolian', 'Mongolia')",Geography / buildings / landmarks,Mongolian
253,5919991134279761186_1,"('Japanese', 'Japan')",Traditions / art / history,Japanese
254,5865784464277573887_0,"('Mongolian', 'Mongolia')",Cooking and food,Mongolian
255,5865752664272766078_0,"('Malay', 'Malaysia')",Public Figure and pop culture,Filipino
256,5865939224278209434_2,"('Javanese', 'Indonesia')",People and everyday life,Indonesian
257,5899922222745936726_0,"('Minangkabau', 'Indonesia')",Cooking and food,Indonesian
258,5920942824275353428_1,"('Telugu', 'India')",Objects / materials / clothing,Bengali
259,5865752674278057666_1,"('Malay', 'Malaysia')",Objects / materials / clothing,Malay
260,5865939254273674573_0,"('Javanese', 'Indonesia')",Cooking and food,Filipino
261,5879880098657959150_0,"('Bengali', 'India')",Public Figure and pop culture,Bengali
262,5865939214274115404_1,"('Sundanese', 'Indonesia')",People and everyday life,Malay
263,5948826956368444388_0,"('Japanese', 'Japan')",Objects / materials / clothing,Japanese
264,5872142895346548126_1,"('Bengali', 'India')",Objects / materials / clothing,Bengali
265,5865752664278348471_0,"('Malay', 'Malaysia')",Sports and recreation,Indonesian
266,5920593604275796230_0,"('Hindi', 'India')",People and everyday life,Hindi
267,5865687714276238934_0,"('Bengali', 'India')",Objects / materials / clothing,Bengali
268,5920593844279777454_0,"('Tamil', 'India')",Objects / materials / clothing,Bengali
269,6028345764278473511_0,"('Marathi', 'India')",Cooking and food,Bengali
270,5920943064277840460_1,"('Urdu', 'India')",Cooking and food,Bengali
271,5865939214278514302_0,"('Sundanese', 'Indonesia')",Geography / buildings / landmarks,Indonesian
272,5920593724271571150_1,"('Marathi', 'India')",Vehicles and Transportation,Japanese
273,5865687704273406867_1,"('Bengali', 'India')",Geography / buildings / landmarks,Bengali
274,5865910684273469261_0,"('Chinese', 'China')",Cooking and food,Korean
275,5865687704272524518_1,"('Bengali', 'India')",Brands / products / companies,Bengali
276,5865939264277731031_0,"('Indonesian', 'Indonesia')",Brands / products / companies,Indonesian
277,5920593834272953332_1,"('Tamil', 'India')",Traditions / art / history,Tamil
278,5865941054275162007_1,"('Chinese', 'Singapore')",Public Figure and pop culture,Chinese
279,5865939284271682071_0,"('Indonesian', 'Indonesia')",Geography / buildings / landmarks,Minangkabau
280,5865784474271187742_2,"('Mongolian', 'Mongolia')",Sports and recreation,Mongolian
281,5879880118654965923_2,"('Bengali', 'India')",Public Figure and pop culture,Bengali
282,5922893985415772819_0,"('Sinhala', 'Sri_Lanka')",People and everyday life,Bengali
283,5865784474277453722_0,"('Mongolian', 'Mongolia')",Geography / buildings / landmarks,Japanese
284,5865743584278967277_2,"('Korean', 'South Korea')",Traditions / art / history,Japanese
285,5920943054279509041_1,"('Urdu', 'India')",Vehicles and Transportation,Tamil
286,5919326634271031729_0,"('Minangkabau', 'Indonesia')",Geography / buildings / landmarks,Indonesian
287,5865939274278939000_2,"('Javanese', 'Indonesia')",Cooking and food,Indonesian
288,6028345774279870960_1,"('Marathi', 'India')",Traditions / art / history,Bengali
289,5865784464274975600_2,"('Mongolian', 'Mongolia')",Brands / products / companies,Japanese
290,5865925444271529574_0,"('Filipino', 'Philippines')",Objects / materials / clothing,Filipino
291,5865939224275800403_2,"('Sundanese', 'Indonesia')",Cooking and food,Filipino
292,5920942834277098392_1,"('Telugu', 'India')",Vehicles and Transportation,Malay
293,5865925454271866025_0,"('Filipino', 'Philippines')",Brands / products / companies,Filipino
294,5865687724278338226_2,"('Bengali', 'India')",Cooking and food,Bengali
295,5865910674273458190_0,"('Chinese', 'China')",Objects / materials / clothing,Chinese
296,5922685265416597207_0,"('Sinhala', 'Sri_Lanka')",Geography / buildings / landmarks,Filipino
297,5865743594279648038_0,"('Korean', 'South Korea')",Geography / buildings / landmarks,Korean
298,5920593594273029251_1,"('Hindi', 'India')",Objects / materials / clothing,Bengali
299,5920593594271693202_1,"('Hindi', 'India')",Cooking and food,Bengali
300,5928537448343694084_1,"('Urdu', 'India')",Cooking and food,Malay
301,5865941054277656653_1,"('Chinese', 'Singapore')",Sports and recreation,Filipino
302,5865925464273178159_0,"('Filipino', 'Philippines')",Cooking and food,Filipino
303,5928538388343310161_0,"('Urdu', 'India')",Cooking and food,Bengali
304,5920593594274192059_0,"('Hindi', 'India')",Cooking and food,Bengali
305,5865910684273995468_0,"('Chinese', 'China')",Objects / materials / clothing,Japanese
306,5865910694277171021_0,"('Chinese', 'China')",Traditions / art / history,Chinese
307,5865784474274984563_2,"('Mongolian', 'Mongolia')",Geography / buildings / landmarks,Mongolian
308,5865925454273178923_0,"('Filipino', 'Philippines')",Objects / materials / clothing,Filipino
309,5865752664278348558_1,"('Malay', 'Malaysia')",Cooking and food,Malay
310,5920593594279919893_1,"('Hindi', 'India')",Geography / buildings / landmarks,Hindi
311,5920942824278873876_0,"('Telugu', 'India')",Sports and recreation,Tamil
312,6028345784274920873_1,"('Marathi', 'India')",Vehicles and Transportation,Urdu
313,5865941054276936057_0,"('Chinese', 'Singapore')",Brands / products / companies,Malay
314,5865910674279457951_1,"('Chinese', 'China')",Cooking and food,Chinese
315,5922659095417602186_0,"('Sinhala', 'Sri_Lanka')",Cooking and food,Filipino
316,5865743584271872926_1,"('Korean', 'South Korea')",Cooking and food,Korean
317,5865687704275682998_2,"('Bengali', 'India')",Traditions / art / history,Bengali
318,5920943074277879269_1,"('Urdu', 'India')",Geography / buildings / landmarks,Marathi
319,5865925454276966371_0,"('Filipino', 'Philippines')",Public Figure and pop culture,Filipino
320,5900088699939477477_0,"('Minangkabau', 'Indonesia')",Cooking and food,Indonesian
321,5865743594277397458_1,"('Korean', 'South Korea')",Public Figure and pop culture,Korean
322,5865939224276500477_2,"('Javanese', 'Indonesia')",Geography / buildings / landmarks,Indonesian
323,5900301969935276798_1,"('Minangkabau', 'Indonesia')",People and everyday life,Malay
324,5865687714279822192_0,"('Bengali', 'India')",Traditions / art / history,Bengali
325,5922675445412078908_0,"('Sinhala', 'Sri_Lanka')",Geography / buildings / landmarks,Sinhala
326,5865941064277471516_0,"('Chinese', 'Singapore')",Cooking and food,Indonesian
327,5865784454279702945_0,"('Mongolian', 'Mongolia')",People and everyday life,Mongolian
328,5865941054271584589_0,"('Chinese', 'Singapore')",Brands / products / companies,Chinese
329,5919326634275958511_1,"('Minangkabau', 'Indonesia')",Public Figure and pop culture,Indonesian
330,5922793855412764271_0,"('Sinhala', 'Sri_Lanka')",Traditions / art / history,Sinhala
331,5920943054278260979_0,"('Urdu', 'India')",Brands / products / companies,Indian
332,5919991124273310938_1,"('Japanese', 'Japan')",Public Figure and pop culture,Japanese
333,5865752674275431424_0,"('Malay', 'Malaysia')",Public Figure and pop culture,Malay
334,5865687714279769701_1,"('Bengali', 'India')",Cooking and food,Chinese
335,5865941054277281187_0,"('Chinese', 'Singapore')",Sports and recreation,Chinese
336,5865910674278545668_1,"('Chinese', 'China')",Objects / materials / clothing,Javanese
337,5865743584273917481_1,"('Korean', 'South Korea')",Geography / buildings / landmarks,Korean
