,ID,Culture,Category,output
137,5865939274277467946_0,"('Indonesian', 'Indonesia')",Traditions / art / history,"The image depicts a vibrant and colorful mural featuring characters from the animated film ""Despicable!"". The mural is located on a wall and is adorn"
138,5865940254274807192_2,"('Urdu', 'Pakistan')",Cooking and food,Japanese
139,5920942824277408702_0,"('Telugu', 'India')",Plants and animal,Filipino
140,5922912785417846595_1,"('Sinhala', 'Sri_Lanka')",Public Figure and pop culture,Filipino
141,5865940254277016934_0,"('Urdu', 'Pakistan')",Objects / materials / clothing,
142,5919326634272849642_1,"('Minangkabau', 'Indonesia')",People and everyday life,"The image shows a group of people gathered around a table, with their hands stacked on top of each other's fingers, forming a heart shape. The"
143,5865752664273624142_1,"('Malay', 'Malaysia')",Vehicles and Transportation,Hindi
144,5865743584277086239_0,"('Korean', 'South Korea')",Brands / products / companies,Japanese
145,5865939244273074657_1,"('Javanese', 'Indonesia')",Geography / buildings / landmarks,"The image best represents ""Hiking"". The group of people is walking on a trail in a mountainous area, which is a common activity associated with hiking"
146,5865910684277184927_0,"('Chinese', 'China')",Sports and recreation,Chinese
147,5865687714276816881_1,"('Bengali', 'India')",Plants and animal,Bengali
148,5922892155418678405_0,"('Sinhala', 'Sri_Lanka')",People and everyday life,"- Javan
- Javan
- Javan
- Sinh
- Javan
- Javan
- Sinh
- J"
149,5920593854277241644_1,"('Tamil', 'India')",People and everyday life,Hindi
150,5922682445417616200_0,"('Sinhala', 'Sri_Lanka')",Geography / buildings / landmarks,Sinhala
151,5865941054272262238_1,"('Chinese', 'Singapore')",Brands / products / companies,- 96.
152,5922911545415090574_0,"('Sinhala', 'Sri_Lanka')",Public Figure and pop culture,Filipino
153,5865939254274870498_0,"('Javanese', 'Indonesia')",Cooking and food,"The image shows a close-up of a round, yellow, 
- food item, 
- In 
- English
- Spanish
"
154,5865941054279977813_1,"('Chinese', 'Singapore')",Geography / buildings / landmarks,Indonesian
155,5920593844278508257_0,"('Tamil', 'India')",People and everyday life,The image best represents the culture of **Filipino**.
156,5865910674275910168_0,"('Chinese', 'China')",Cooking and food,Chinese
157,5899638222748320493_1,"('Minangkabau', 'Indonesia')",Cooking and food,Japanese
158,5865784474271501618_0,"('Mongolian', 'Mongolia')",People and everyday life,"The image depicts a scene from a rural setting, with two individuals, one dressed in traditional attire, attending to a young foal, which is being"
159,5865939224276660803_0,"('Javanese', 'Indonesia')",Plants and animal,- Indonesian
160,6028345764279466084_2,"('Marathi', 'India')",Cooking and food,"The image shows a plate of food, which includes a large serving of biryani, and two smaller containers of sauce and chutney. The"
161,5922569285417255998_0,"('Sinhala', 'Sri_Lanka')",Objects / materials / clothing,Japanese
162,5865939224273502218_0,"('Indonesian', 'Indonesia')",Public Figure and pop culture,Chinese
163,5865925454273794924_0,"('Filipino', 'Philippines')",Cooking and food,The image best represents a bowl of **Laksa Soup**.
164,5865743574279849229_0,"('Korean', 'South Korea')",Vehicles and Transportation,The image shows a train interior with overhead luggage racks and a screen displaying a cartoon image of colorful characters. The train appears to be a part of
165,5865941044278929436_0,"('Chinese', 'Singapore')",Geography / buildings / landmarks,"- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
"
166,5865784454275005872_0,"('Mongolian', 'Mongolia')",Objects / materials / clothing,Japanese
167,5865940244273813395_0,"('Urdu', 'Pakistan')",Cooking and food,The image best represents **Indian** culture.
168,5865743594277202389_1,"('Korean', 'South Korea')",Brands / products / companies,"- English
- French
- German
- Greek
- Italian
- Latin
- Portuguese
- Russian
- Spanish
- Thai
"
169,5919326634278168348_2,"('Minangkabau', 'Indonesia')",Sports and recreation,Indonesian
170,5865743584273043863_1,"('Korean', 'South Korea')",Brands / products / companies,"The image depicts a unique and creatively designed vehicle that resembles a giant ice cream truck, but it is equipped with multiple antennae and labeled ""5"
171,5865925454276175460_0,"('Filipino', 'Philippines')",Geography / buildings / landmarks,- Indonesian
172,5920593844272992296_1,"('Tamil', 'India')",Brands / products / companies,"The image best represents Asian culture.

Answer: Asian"
173,5865939234278410486_1,"('Javanese', 'Indonesia')",People and everyday life,"- Sinhala
- Sinhala
- Sinhala
- Sinhala
- Sinhala
- Sinhala
"
174,5865939224277649855_1,"('Javanese', 'Indonesia')",Traditions / art / history,"- Malay
- Sinhala
- Sinhala
- Sinhala. One of the parade
-- Sinhala
-"
175,5865939254279377219_0,"('Indonesian', 'Indonesia')",Objects / materials / clothing,Chinese
176,5920942834275251342_0,"('Telugu', 'India')",Traditions / art / history,The image best represents Bengali culture.
177,5865910674275342116_1,"('Chinese', 'China')",Public Figure and pop culture,"The image features a man dressed in a blue robe, holding a bird in his hand. The bird is brown and has a long, braided tail"
178,5920593834278847752_1,"('Tamil', 'India')",Vehicles and Transportation,The image features a traditional **rickshaw** with a blue canopy and a **bicycle** with a brown seat. The **rickshaw** is
179,5865752674271062902_2,"('Malay', 'Malaysia')",Public Figure and pop culture,- Bengali
180,5865784454277577083_0,"('Mongolian', 'Mongolia')",Objects / materials / clothing,"- Filipino
- Tagalog
- Tagalog
- Tagalog
- Tagalog
- Tagalog
- Tagalog
- Tagalog"
181,5920943064279700954_0,"('Urdu', 'India')",Objects / materials / clothing,Japanese
182,5865743584278058114_1,"('Korean', 'South Korea')",Traditions / art / history,"The image shows a traditional Korean street scene with buildings featuring intricate patterns of small white tiles on their facades. There are electrical wires overhead, and a"
183,5865939204275505020_0,"('Sundanese', 'Indonesia')",Sports and recreation,Indonesian
184,5865939264275262017_2,"('Javanese', 'Indonesia')",Brands / products / companies,"- 7
- 7
- 7
- 7
- 7
- 7
- 7
- "
185,5865941064276734483_0,"('Chinese', 'Singapore')",Geography / buildings / landmarks,"The image best represents a modern architectural marvel with lush greenery and sky background. It showcases a building with unique design, featuring curved structures and"
186,5865784464274793622_1,"('Mongolian', 'Mongolia')",Objects / materials / clothing,"- Javanese
- Filipino
- Minangkabau
- Sundanese
- Korean
- Indonesian
- Marathi
- Tel"
187,5865752684274318518_1,"('Malay', 'Malaysia')",Public Figure and pop culture,The image best represents a Bengali woman.
188,5919326634271338805_1,"('Minangkabau', 'Indonesia')",Cooking and food,Filipino
189,5865687724272318862_1,"('Bengali', 'India')",Cooking and food,The image best represents the culture of Japanese.
190,5865939254272345524_0,"('Javanese', 'Indonesia')",Cooking and food,"- Sinhala
- Filipino
- Minangkabau
- Sinhala
- Minangkabau
- Filipino
- Min"
191,5865925454278728448_0,"('Filipino', 'Philippines')",Cooking and food," in serving. and serving gr de st heart and from The, special and colors three fish on a metal cooked a white, yellow, yellow, a"
192,5865939224275574126_1,"('Javanese', 'Indonesia')",Cooking and food,"- Filipino
- Minangkabau
- Filipino
- Telugu
- Malay
- Sinhala
- Japanese
- Marathi"
193,5865940244273382754_1,"('Urdu', 'Pakistan')",Vehicles and Transportation,"- 
- 
- 
- 
- 
- 
- 
- 
- 
- 
"
194,5920593834273282614_1,"('Tamil', 'India')",Vehicles and Transportation,"The image best represents a scene from the movie ""Life of Pi"" by the director ""Hayao"". It showcases traditional life in a rural village"
195,5920593844275747345_0,"('Tamil', 'India')",Brands / products / companies,"- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
"
196,5865925444278268688_2,"('Filipino', 'Philippines')",Plants and animal,Japanese
197,5920942824277680872_1,"('Telugu', 'India')",Brands / products / companies,"The image best represents Asian culture.

Answer: Asian"
198,5865925464271062609_1,"('Filipino', 'Philippines')",Cooking and food,"The image best represents Chinese culture. The dish shown in the image is a traditional Chinese dish called ""Yangzhou Fried Noodles with Egg,"" which"
199,5865939264278973991_1,"('Javanese', 'Indonesia')",Vehicles and Transportation,Filipino
200,5899600652742918710_0,"('Minangkabau', 'Indonesia')",Geography / buildings / landmarks,- Indonesian
201,5865784464278856977_0,"('Mongolian', 'Mongolia')",Vehicles and Transportation,Japanese
202,5920943064276542701_1,"('Urdu', 'India')",People and everyday life,Hindi
203,5919991134273951824_1,"('Japanese', 'Japan')",Sports and recreation,Japanese
204,5865939274272949079_2,"('Sundanese', 'Indonesia')",Public Figure and pop culture,Filipino
205,5865939254271696015_0,"('Javanese', 'Indonesia')",Cooking and food,The image best represents the Filipino culture.
206,5920593834271608414_1,"('Tamil', 'India')",Traditions / art / history,The image shows a white ceramic figurine with a brown spot.
207,5865925454278675574_0,"('Filipino', 'Philippines')",Geography / buildings / landmarks,"- Chinese
- Chinese
- Chinese
- Chinese
- Chinese
- Chinese
- Chinese
- Chinese
- Chinese
- Chinese
"
208,5920942834271311441_0,"('Telugu', 'India')",Cooking and food,The image best represents Bengali culture.
209,5865939244274820654_1,"('Javanese', 'Indonesia')",Objects / materials / clothing,"The image shows a variety of colorful and patterned fabrics, each with unique designs and vibrant hues, creating a visual feast for the eyes."
210,5865910664278673539_1,"('Chinese', 'China')",Plants and animal,The image best represents the Bengali culture.
211,5922638935418729703_0,"('Sinhala', 'Sri_Lanka')",Cooking and food,- Indonesian
212,5865743574272329748_1,"('Korean', 'South Korea')",Objects / materials / clothing,"The image shows a large, intricate musical instrument with numerous strings stretched out on a table. The instrument is decorated with elaborate patterns and designs. There are"
213,5865939284275958678_1,"('Indonesian', 'Indonesia')",Vehicles and Transportation,The image best represents the Filipino culture.
214,5865939214271072849_2,"('Sundanese', 'Indonesia')",Cooking and food,The image best represents a dish from the Filipino culture.
215,5865939244277313236_0,"('Indonesian', 'Indonesia')",Objects / materials / clothing,Filipino
216,5865939214279866550_0,"('Sundanese', 'Indonesia')",Sports and recreation,"- Filipino
- Indonesian
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
- Filipino
"
217,5865939234276094869_0,"('Javanese', 'Indonesia')",Objects / materials / clothing,"The image best represents the **Bengali** culture.

Here are the options below:
- Bengali
- Javanese
- Filipino
-"
218,5865939264277706111_1,"('Javanese', 'Indonesia')",Cooking and food,"- Filipino
- Minangkabau
- Filipino
- Minangkabau
- Filipino
- Minangkabau
- Filipino
"
219,5865941064275641011_0,"('Chinese', 'Singapore')",Geography / buildings / landmarks,Japanese
220,5865687704271304221_1,"('Bengali', 'India')",Objects / materials / clothing,Hindi
221,5865743594274111100_1,"('Korean', 'South Korea')",Vehicles and Transportation,Japanese
222,5922798885415693592_0,"('Sinhala', 'Sri_Lanka')",Traditions / art / history,Indonesian
223,5865939224271863390_0,"('Javanese', 'Indonesia')",Cooking and food,"[image]
[200000000. To make the most amazing food, in a
[20000"
224,5865939224279317793_2,"('Indonesian', 'Indonesia')",Public Figure and pop culture,Japanese
225,5920593714275055711_0,"('Marathi', 'India')",Brands / products / companies,"The image you provided appears to depict a large display of Parle-G candies in a store, with a child on the packaging. The child is"
226,5865939234273161035_2,"('Javanese', 'Indonesia')",Cooking and food,The image best represents **Tamil** culture.
227,5865941054273249393_1,"('Chinese', 'Singapore')",Geography / buildings / landmarks,"The image depicts a scene from an airport terminal, specifically Terminal 3 Basement 1. This area is designated for ride-hailing and arrival pick"
228,5920593834279927536_2,"('Tamil', 'India')",Public Figure and pop culture,Japanese
229,5865939274279010753_2,"('Indonesian', 'Indonesia')",Vehicles and Transportation,"The image shows a street scene with a motorcycle and a car, possibly a truck. The truck is parked on the side of the road, and a"
230,5865941054271025372_0,"('Chinese', 'Singapore')",Objects / materials / clothing,Javanese
231,5865784484279925459_2,"('Mongolian', 'Mongolia')",Geography / buildings / landmarks,The image best represents **Japanese** culture.
232,5879915848653467764_0,"('Bengali', 'India')",Public Figure and pop culture,Japanese
233,5920593594272521334_0,"('Hindi', 'India')",Traditions / art / history,Indonesian
234,5865939234276713575_1,"('Javanese', 'Indonesia')",Traditions / art / history,Bengali
235,5920593724273360753_2,"('Marathi', 'India')",Plants and animal,- Indonesian
236,5865784474274893933_1,"('Mongolian', 'Mongolia')",Geography / buildings / landmarks,Japanese
237,5865939264279433249_1,"('Javanese', 'Indonesia')",Cooking and food,Chinese
238,5865910664271436458_0,"('Chinese', 'China')",Plants and animal,Japanese
239,5920943074278630038_0,"('Urdu', 'India')",Traditions / art / history,Bengali
240,5920593844271777115_1,"('Tamil', 'India')",Cooking and food,The image best represents the Filipino culture.
241,5865752674272485435_0,"('Malay', 'Malaysia')",Cooking and food,"The image shows a store shelf with multiple jars of ""Pineapple Roll"" by S&W, featuring a bright yellow label with red text and"
242,5865910674273582700_1,"('Chinese', 'China')",Sports and recreation,The image best represents **Chinese** culture.
243,5865939214276077923_1,"('Sundanese', 'Indonesia')",Traditions / art / history,Japanese
